"","Number","Structure","Immediate.parent","Immediate.child.children"
"400",400,"PeripheralOccipitalWM_R_2","PosteriorWM_R_3","SOWM_R_1, MOWM_R_1, IOWM_R_1, CuWM_R_1, LWM_R_1"
"401",401,"PeripheralCingulateWM_L_2","LimbicWM_L_3","rostralWM_ACC_L_1, subcallosalWM_ACC_L_1, subgenualWM_ACC_L_1, dorsalWM_ACC_L_1, PCCWM_L_1"
"402",402,"PeripheralCingulateWM_R_2","LimbicWM_R_3","rostralWM_ACC_R_1, subcallosalWM_ACC_R_1, subgenualWM_ACC_R_1, dorsalWM_ACC_R_1, PCCWM_R_1"
"403",403,"CerebellumWM_L_2","Cerebellum_L_3","CerebellumWM_L_1"
"404",404,"CerebellumWM_R_2","Cerebellum_R_3","CerebellumWM_R_1, MCP_cb_R_1"
"405",405,"FrontSul_L_2","FrontSul_L_3","FrontSul_L_1"
"406",406,"FrontSul_R_2","FrontSul_R_3","FrontSul_R_1"
"407",407,"CentralSul_L_2","CentralSul_L_1","CentralSul_L_3"
"408",408,"CentralSul_R_2","CentralSul_R_1","CentralSul_R_3"
"409",409,"SylFrontSul_L_2","SylvianFissureExt_L_3","SylFrontSul_L_1"
"410",410,"SylFrontSul_R_2","SylvianFissureExt_R_3","SylFrontSul_R_1"
"411",411,"SylTempSul_L_2","SylvianFissureExt_L_3","SylTempSul_L_1"
"412",412,"SylTempSul_R_2","SylvianFissureExt_R_3","SylTempSul_R_1"
"413",413,"SylParieSul_L_2","SylvianFissureExt_L_3","SylParieSul_L_1"
"414",414,"SylParieSul_R_2","SylvianFissureExt_R_3","SylParieSul_R_1"
"415",415,"ParietSul_L_2","ParietSul_L_3","ParietSul_L_1"
"416",416,"ParietSul_R_2","ParietSul_R_3","ParietSul_R_1"
"417",417,"CinguSul_L_2","CinguSul_L_3","CinguSul_L_1"
"418",418,"CinguSul_R_2","CinguSul_R_3","CinguSul_R_1"
"419",419,"OcciptSul_L_2","OcciptSul_L_3","OcciptSul_L_1"
"420",420,"OcciptSul_R_2","OcciptSul_R_3","OcciptSul_R_1"
"421",421,"TempSul_L_2","TempSul_L_3","TempSul_L_1"
"422",422,"TempSul_R_2","TempSul_R_3","TempSul_R_1"
"423",423,"Caudate_tail_L_2","BasalGang_L_3","Caudate_tail_L_1"
"424",424,"Caudate_tail_R_2","BasalGang_R_3","Caudate_tail_R_1"
"425",425,"IV_ventricle_2","IV_ventricle_3","IV_ventricle_1"
"426",426,"Cerebellum_R_2","Cerebellum_R_3","CerebellumGM_R_1"
"427",427,"Cerebellum_L_2","Cerebellum_L_3","CerebellumGM_L_1"
"4261",428,"Frontal_L_3","CerebralCortex_L_4","SFG_L_2, MFG_L_2, IFG_L_2, OG_L_2, RG_L_2, PrCG_L_2"
"4271",429,"Frontal_R_3","CerebralCortex_R_4","SFG_R_2, MFG_R_2, IFG_R_2, OG_R_2, RG_R_2, PrCG_R_2"
"428",430,"Parietal_L_3","CerebralCortex_L_4","PoCG_L_2, SPG_L_2, SMG_L_2, AG_L_2, PrCu_L_2"
"429",431,"Parietal_R_3","CerebralCortex_R_4","PoCG_R_2, SPG_R_2, SMG_R_2, AG_R_2, PrCu_R_2"
"430",432,"Temporal_L_3","CerebralCortex_L_4","STG_L_2, MTG_L_2, ITG_L_2, FuG_L_2"
"431",433,"Temporal_R_3","CerebralCortex_R_4","STG_R_2, MTG_R_2, ITG_R_2, FuG_R_2"
"432",434,"Limbic_L_3","CerebralCortex_L_4","Limbic_L_2, Cingulate_L_2, Amyg_L_2, Hippo_L_2"
"433",435,"Limbic_R_3","CerebralCortex_R_4","Limbic_R_2, Cingulate_R_2, Amyg_R_2, Hippo_R_2"
"434",436,"Occipital_L_3","CerebralCortex_L_4","SOG_L_2, MOG_L_2, IOG_L_2, Cu_L_2, LG_L_2"
"435",437,"Occipital_R_3","CerebralCortex_R_4","SOG_R_2, MOG_R_2, IOG_R_2, Cu_R_2, LG_R_2"
"436",438,"BasalGang_L_3","CerebralNucli_L_4","Caud_L_2, Put_L_2, GP_L_2, BasalForebrain_L_2, Caudate_tail_L_2"
"437",439,"BasalGang_R_3","CerebralNucli_R_4","Caud_R_2, Put_R_2, GP_R_2, BasalForebrain_R_2, Caudate_tail_R_2"
"438",440,"Thalamus_L_3","Thalamus_L_4","Thalamus_L_2"
"439",441,"Thalamus_R_3","Thalamus_R_4","Thalamus_R_2"
"440",442,"BasalForebrain_L_3","BasalForebrain_L_4","BasalForebrain_L_2"
"441",443,"BasalForebrain_R_3","BasalForebrain_R_4","BasalForebrain_R_2"
"442",444,"midbrain_L_3","Mesencephalon_L_4","midbrain_L_2"
"443",445,"midbrain_R_3","Mesencephalon_R_4","midbrain_R_2"
"444",446,"Cerebellum_L_3","Metencephalon_L_4","Cerebellum_L_2, CerebellumWM_L_2"
"445",447,"Cerebellum_R_3","Metencephalon_R_4","Cerebellum_R_2, CerebellumWM_R_2"
"446",448,"Pons_L_3","Metencephalon_L_4","Pons_L_2"
"447",449,"Pons_R_3","Metencephalon_R_4","Pons_R_2"
"448",450,"Medulla_L_3","Myelencephalon_L_4","Medulla_L_2"
"449",451,"Medulla_R_3","Myelencephalon_R_4","Medulla_R_2"
"450",452,"AnteriorWM_L_3","WhiteMatter_L_4","ant_DPWM_L_2, PVA_anterior_L_2, PeripheralFrontalWM_L_2"
"451",453,"AnteriorWM_R_3","WhiteMatter_R_4","ant_DPWM_R_2, PVA_anterior_R_2, PeripheralFrontalWM_R_2"
"452",454,"PosteriorWM_L_3","WhiteMatter_L_4","post_DPWM_L_2, PeripheralParietalWM_L_2, PVA_posterior_L_2, PeripheralParietalWM_L_2, PeripheralOccipitalWM_L_2"
"453",455,"PosteriorWM_R_3","WhiteMatter_R_4","post_DPWM_R_2, PeripheralParietalWM_R_2, PVA_posterior_R_2, PeripheralParietalWM_R_2, PeripheralOccipitalWM_R_2"
"454",456,"CorpusCallosum_L_3","WhiteMatter_L_4","GCC_L_2, BCC_L_2, SCC_L_2"
"455",457,"CorpusCallosum_R_3","WhiteMatter_R_4","GCC_R_2, BCC_R_2, SCC_R_2"
"456",458,"InferiorWM_L_3","WhiteMatter_L_4","PVA_posterior_L_2, ALIC_L_2, PLIC_L_2, inf_DPWM_L_2, PeripheralTemporalWM_L_2"
"457",459,"InferiorWM_R_3","WhiteMatter_R_4","PVA_posterior_R_2, ALIC_R_2, PLIC_R_2, inf_DPWM_R_2, PeripheralTemporalWM_R_2"
"458",460,"LimbicWM_L_3","WhiteMatter_L_4","CGC_L_2, CGH_L_2, Fx/ST_L_2, Fx_L_2, PeripheralCingulateWM_L_2"
"459",461,"LimbicWM_R_3","WhiteMatter_R_4","CGC_R_2, CGH_R_2, Fx/ST_R_2, Fx_R_2, PeripheralCingulateWM_R_2"
"460",462,"LateralVentricle_L_3","Ventricle_4","AnteriorLateralVentricle_L_2, PosteriorLateralVentricle_L_2, InferiorLateralVentricle_L_2"
"461",463,"LateralVentricle_R_3","Ventricle_4","AnteriorLateralVentricle_L_2, AnteriorLateralVentricle_R_2, PosteriorLateralVentricle_R_2, InferiorLateralVentricle_R_2"
"462",464,"III_ventricle_3","Ventricle_4","III_ventricle_2"
"463",465,"FrontSul_L_3","Sulcus_L_4","FrontSul_L_2"
"464",466,"FrontSul_R_3","Sulcus_R_4","FrontSul_R_2"
"465",467,"CentralSul_L_3","Sulcus_L_4","CentralSul_L_2"
"466",468,"CentralSul_R_3","Sulcus_R_4","CentralSul_R_2"
"467",469,"SylvianFissureExt_L_3","Sulcus_L_4","SylFrontSul_L_2, SylTempSul_L_2, SylParieSul_L_2"
"468",470,"SylvianFissureExt_R_3","Sulcus_R_4","SylFrontSul_R_2, SylTempSul_R_2, SylParieSul_R_2"
"469",471,"ParietSul_L_3","Sulcus_L_4","ParietSul_L_2"
"470",472,"ParietSul_R_3","Sulcus_R_4","ParietSul_R_2"
"471",473,"CinguSul_L_3","Sulcus_L_4","CinguSul_L_2"
"472",474,"CinguSul_R_3","Sulcus_R_4","CinguSul_R_2"
"473",475,"OcciptSul_L_3","Sulcus_L_4","OcciptSul_L_2"
"474",476,"OcciptSul_R_3","Sulcus_R_4","OcciptSul_R_2"
"475",477,"TempSul_L_3","Sulcus_L_4","TempSul_L_2"
"476",478,"TempSul_R_3","Sulcus_R_4","TempSul_R_2"
"477",479,"IV_ventricle_3","Ventricle_4","IV_ventricle_2"
"480",480,"Insula_L_3","CerebralCortex_L_4","Insula_L_2"
"481",481,"Insula_R_3","CerebralCortex_L_4","Insula_R_2"
"478",482,"CerebralCortex_L_4","Telencephalon_L_5","Frontal_L_3, Parietal_L_3, Temporal_L_3, Limbic_L_3, Occipital_L_3, Insula_L_3"
"479",483,"CerebralCortex_R_4","Telencephalon_R_5","Frontal_R_3, Parietal_R_3, Temporal_R_3, Limbic_R_3, Occipital_R_3, Insula_R_3"
"4801",484,"CerebralNucli_L_4","Telencephalon_L_5","Limbic_L_3, BasalGang_L_3"
"4811",485,"CerebralNucli_R_4","Telencephalon_R_5","Limbic_R_3, BasalGang_R_3"
"482",486,"Thalamus_L_4","Diencephalon_L_5","Thalamus_L_3"
"483",487,"Thalamus_R_4","Diencephalon_R_5","Thalamus_R_3"
"484",488,"BasalForebrain_L_4","Diencephalon_L_5","BasalForebrain_L_3"
"485",489,"BasalForebrain_R_4","Diencephalon_R_5","BasalForebrain_R_3"
"486",490,"Mesencephalon_L_4","Mesencephalon_5","midbrain_L_3"
"487",491,"Mesencephalon_R_4","Mesencephalon_5","midbrain_R_3"
"488",492,"Metencephalon_L_4","Metencephalon_5","Cerebellum_L_3, Pons_L_3"
"489",493,"Metencephalon_R_4","Metencephalon_5","Cerebellum_R_3, Pons_R_3"
"490",494,"Myelencephalon_L_4","Myelencephalon_5","Medulla_L_3"
"491",495,"Myelencephalon_R_4","Myelencephalon_5","Medulla_R_3"
"492",496,"WhiteMatter_L_4","Telencephalon_L_5","AnteriorWM_L_3, PosteriorWM_L_3, CorpusCallosum_L_3, InferiorWM_L_3, LimbicWM_L_3"
"493",497,"WhiteMatter_R_4","Telencephalon_R_5","AnteriorWM_R_3, PosteriorWM_R_3, CorpusCallosum_R_3, InferiorWM_R_3, LimbicWM_R_3"
"494",498,"Ventricle_4","CSF_5","LateralVentricle_L_3, LateralVentricle_R_3, III_ventricle_3, IV_ventricle_3"
"495",499,"Sulcus_L_4","CSF_5","FrontSul_L_3, CentralSul_L_3, SylvianFissureExt_L_3, ParietSul_L_3, CinguSul_L_3, OcciptSul_L_3, TempSul_L_3"
"496",500,"Sulcus_R_4","CSF_5","FrontSul_R_3, CentralSul_R_3, SylvianFissureExt_R_3, ParietSul_R_3, CinguSul_R_3, OcciptSul_R_3, TempSul_R_3"
"497",501,"Telencephalon_L_5","Everything","CerebralCortex_L_4, CerebralNucli_L_4, WhiteMatter_L_4"
"498",502,"Telencephalon_R_5","Everything","CerebralCortex_R_4, CerebralNucli_R_4, WhiteMatter_R_4"
"499",503,"Diencephalon_L_5","Everything","Thalamus_L_4, BasalForebrain_L_4"
"500",504,"Diencephalon_R_5","Everything","Thalamus_R_4, BasalForebrain_R_4"
"501",505,"Mesencephalon_5","Everything","Mesencephalon_L_4, Mesencephalon_R_4"
"502",506,"Metencephalon_5","Everything","Metencephalon_L_4, Metencephalon_R_4"
"503",507,"Myelencephalon_5","Everything","Myelencephalon_L_4, Myelencephalon_R_4"
"504",508,"CSF_5","Everything","Ventricle_4, Sulcus_L_4, Sulcus_R_4"
"505",509,"Everything",NA,"Telencephalon_L_5, Telencephalon_R_5, Diencephalon_L_5, Diencephalon_R_5, Mesencephalon_5, Metencephalon_5, Myelencephalon_5, CSF_5"
